4,7,3
5,6,1
6,6,2
7,7,3
8,10,4
9,4,2
10,2,3
11,9,2
12,6,4
13,9,3
14,8,2
15,5,3
16,4,5
17,5,4
18,3,2
19,7,5
20,3,5
21,11,3
22,4,4
23,7,1
24,5,2
25,4,3
26,4,4
27,5,5
28,3,5
29,9,3
30,10,5
31,9,1
32,8,2
33,6,2
34,10,1
35,6,5
36,10,1
37,4,3
38,8,4
39,1,4
40,8,2
41,4,2
42,11,3
43,3,4
44,7,2
45,7,5
46,1,1
47,5,1
48,2,2
49,6,2
50,11,4
51,3,5
52,8,2
53,7,5
54,10,3
55,2,3
56,1,2
57,9,1
58,1,3
59,7,5
60,6,2
61,10,1
62,11,1
63,2,5
64,4,4
65,5,2
66,5,5
67,3,3
64,5,4
69,1,2
64,4,5
71,10,5
72,2,3
73,10,1
74,2,5
75,9,2
76,2,2
77,8,3
78,1,2
79,10,3
80,11,2
81,9,3
82,3,5
83,5,4
84,8,4
85,1,1
86,1,2
87,5,3
88,11,4
89,3,2
90,5,5
91,1,4
92,6,2
93,8,2
94,2,5
95,7,5
96,5,5
97,8,3
98,9,4
99,8,3
100,6,3
101,8,3
102,2,3
103,10,1
